index,UserID,ProductID,Rating
0,1630,46713,2
1,9296,6256,4
2,7826,3376,1
3,2375,31242,5
4,8994,32877,3
5,2771,16531,1
6,1473,30843,3
7,1147,2552,1
8,8861,29995,2
9,3035,28324,2
10,3047,14217,4
11,4038,30317,3
12,9196,13426,1
13,4393,49139,2
14,9431,40951,3
15,7130,3057,3
16,7851,38088,2
17,1795,49748,5
18,7545,43654,3
19,2518,47529,5
20,7215,32963,2
21,3016,35184,5
22,2515,29640,4
23,5773,38663,2
24,3078,12592,2
25,9170,10120,3
26,1343,3783,1
27,1561,3005,4
28,6920,35019,5
29,4842,14946,3
30,6738,16975,3
31,3755,20179,1
32,5116,15814,5
33,8404,22280,2
34,9384,18081,1
35,4040,42517,3
36,1700,27845,3
37,6699,42666,1
38,3324,30946,3
39,6009,4871,5
40,6469,25570,4
41,6807,20706,5
42,9710,36205,5
43,5811,6070,3
44,2166,30518,2
45,1165,19916,5
46,8541,29480,2
47,701,15547,4
48,2477,41412,2
49,6833,28895,5
50,6240,36245,1
51,7128,36518,3
52,6487,32836,5
53,9326,31312,4
54,9493,28318,3
55,7770,41692,4
56,8850,12376,2
57,8102,30286,3
58,5335,29303,4
59,9477,1375,2
60,6744,35861,4
61,8642,36532,4
62,4283,43593,3
63,9669,21253,4
64,4636,5901,1
65,1562,33929,5
66,7299,43553,1
67,8902,38770,5
68,6314,38922,5
69,7743,3004,2
70,2472,3823,5
71,2738,24495,2
72,2169,45379,4
73,6326,46034,4
74,6233,24395,2
75,9204,14693,5
76,6582,12384,1
77,3847,30163,1
78,8413,28817,2
79,1530,29337,5
80,9811,41031,2
81,511,14024,1
82,5896,28614,2
83,1607,39346,2
84,7129,18037,5
85,9618,36043,1
86,8498,48182,2
87,2490,1182,3
88,7137,46172,4
89,3999,25835,5
90,1454,22745,2
91,2533,1535,4
92,7165,6505,1
93,6773,27506,5
94,6526,42741,2
95,9462,48958,2
96,1811,25846,4
97,3630,48886,3
98,1890,7603,3
99,2715,21939,4
100,8535,18457,3
101,4502,28611,5
102,7231,25002,5
103,9984,8782,5
104,1051,28364,5
105,1135,7907,5
106,2594,20197,5
107,3271,5597,3
108,9820,49341,4
109,4035,44253,2
110,788,9649,1
111,865,34806,5
112,4063,21359,4
113,6001,43844,5
114,3205,47423,1
115,4701,19154,2
116,1896,16090,5
117,3809,42739,3
118,9614,29810,2
119,5957,16934,1
120,9233,7197,2
121,706,26446,3
122,1028,35699,5
123,3577,28500,3
124,9905,11438,2
125,973,10455,4
126,3253,19718,3
127,8021,1074,2
128,4462,25332,5
129,6132,2793,5
130,4323,5785,1
131,2667,9367,2
132,5274,2047,4
133,8442,1060,5
134,6152,21220,4
135,3462,25924,1
136,6739,49554,2
137,6544,23894,4
138,9142,8957,3
139,7593,27237,1
140,9542,9606,2
141,8765,22419,2
142,4423,47918,4
143,8726,22763,3
144,9697,27546,1
145,3426,44777,5
146,6217,19962,3
147,2112,32203,2
148,5284,5420,4
